model,class,psnr,ssim,fsim,lpips
SharpXR,Normal,31.661689532633552,0.8429663777351379,0.9028831720352173,0.2518026828765869
SharpXR,Normal,31.189422846174992,0.8432363271713257,0.8948967456817627,0.2375030517578125
SharpXR,Normal,33.31704633735391,0.9048340916633606,0.9309091567993164,0.2074671983718872
SharpXR,Normal,34.63800980283737,0.920568585395813,0.9372128844261169,0.21753670275211334
SharpXR,Normal,32.11083516497737,0.880949079990387,0.9118974804878235,0.2178524136543274
SharpXR,Normal,31.86614526631842,0.8666101098060608,0.9084269404411316,0.230569526553154
SharpXR,Normal,33.50185817188956,0.9148624539375305,0.9343288540840149,0.16401039063930511
SharpXR,Normal,33.09412623661601,0.9088353514671326,0.9351463317871094,0.17248834669589996
SharpXR,Normal,33.44490189903741,0.8934321999549866,0.9288640022277832,0.23019127547740936
SharpXR,Normal,34.10902353025691,0.9178836345672607,0.9326483011245728,0.23932012915611267
SharpXR,Normal,33.504584024837115,0.9006759524345398,0.9292909502983093,0.19162876904010773
SharpXR,Normal,33.30537796574252,0.9116523861885071,0.9308762550354004,0.17671659588813782
SharpXR,Normal,33.53377720106979,0.9090990424156189,0.9232931733131409,0.1979525089263916
SharpXR,Normal,34.81741136218078,0.9222577214241028,0.9409686326980591,0.24920517206192017
SharpXR,Normal,34.84967204570115,0.9141796231269836,0.9246389269828796,0.27987369894981384
SharpXR,Normal,34.510078560759354,0.9137712717056274,0.9318660497665405,0.17852041125297546
SharpXR,Normal,32.35683570589648,0.8618176579475403,0.9043461680412292,0.28917062282562256
SharpXR,Normal,32.63466301930088,0.9071477055549622,0.9334254860877991,0.17525054514408112
