arm,noise_level,psnr
ircnn,low,33.0469
ircnn,low,32.8771
ircnn,low,33.9453
ircnn,low,35.7455
ircnn,low,35.8296
ircnn,low,34.699
ircnn,low,35.5689
ircnn,low,35.1038
ircnn,low,33.8659
ircnn,low,33.7311
ircnn,low,33.8093
ircnn,low,35.0597
ircnn,low,33.9862
ircnn,low,35.5832
ircnn,low,34.6154
ircnn,low,33.4885
ircnn,low,33.5915
ircnn,low,33.9554
ircnn,low,36.236
ircnn,low,34.3957
ircnn,low,34.6035
ircnn,low,33.76
ircnn,low,34.5088
ircnn,low,34.3186
ircnn,low,33.7632
ircnn,low,35.5127
ircnn,low,33.8936
ircnn,low,34.7634
ircnn,low,33.727
ircnn,low,33.8513
ircnn,low,33.0399
ircnn,low,33.5668
ircnn,low,34.5141
ircnn,low,34.6575
ircnn,low,33.5538
ircnn,low,34.4862
ircnn,low,34.9036
ircnn,low,33.5263
ircnn,low,34.4804
ircnn,low,34.5079
ircnn,low,34.1128
ircnn,low,33.165
ircnn,low,33.91
ircnn,low,34.8833
ircnn,low,34.8938
ircnn,low,32.9825
ircnn,low,33.5375
ircnn,low,33.9238
ircnn,low,33.9669
ircnn,low,33.2551
ircnn,low,34.7159
ircnn,low,33.8515
ircnn,low,35.8529
ircnn,low,34.7761
ircnn,low,34.7084
ircnn,low,34.895
ircnn,low,34.3866
ircnn,low,34.4049
ircnn,low,33.3531
ircnn,low,34.9732
ircnn,low,33.4157
ircnn,low,33.4031
ircnn,low,34.3436
ircnn,low,34.0568
ircnn,low,33.8272
ircnn,low,33.5113
ircnn,low,34.0187
ircnn,low,35.0821
ircnn,low,34.6354
ircnn,low,33.8047
ircnn,low,33.6619
ircnn,low,34.6265
ircnn,low,33.0962
ircnn,low,33.5396
ircnn,low,34.4702
ircnn,low,33.3565
ircnn,low,35.2141
ircnn,low,33.9706
ircnn,low,33.5968
ircnn,low,33.3306
ircnn,low,33.6847
ircnn,low,35.0068
ircnn,low,33.7245
ircnn,low,34.3723
ircnn,low,33.5317
ircnn,low,33.2088
ircnn,low,34.253
ircnn,low,35.242
ircnn,low,33.7385
ircnn,low,33.6964
ircnn,low,34.5076
ircnn,low,33.8701
ircnn,low,34.9401
ircnn,low,35.6654
ircnn,low,34.7321
ircnn,low,34.4141
ircnn,low,34.8444
ircnn,low,35.9562
ircnn,low,35.7767
ircnn,low,35.4876
ircnn,low,33.9038
ircnn,low,33.8808
ircnn,low,31.7413
ircnn,low,33.7743
ircnn,low,34.173
ircnn,low,34.2926
ircnn,low,33.9104
ircnn,low,35.2092
ircnn,low,34.8156
ircnn,low,34.6485
ircnn,low,33.6115
ircnn,low,33.8234
ircnn,low,33.2783
ircnn,low,32.6902
ircnn,low,34.7687
ircnn,low,35.0849
ircnn,low,34.1975
ircnn,low,34.0328
ircnn,low,34.7697
ircnn,low,33.3466
ircnn,low,35.0369
ircnn,low,35.0346
ircnn,low,34.3787
ircnn,low,33.2022
ircnn,low,34.9308
ircnn,low,36.1283
ircnn,low,33.5005
ircnn,low,33.6014
ircnn,low,33.5821
ircnn,low,34.5034
ircnn,low,34.3034
ircnn,low,35.33
ircnn,low,33.1467
ircnn,low,34.0928
ircnn,low,34.4346
ircnn,low,34.04
ircnn,low,34.139
ircnn,low,33.4426
ircnn,low,35.321
ircnn,low,35.8358
ircnn,low,34.9762
ircnn,low,33.8971
ircnn,low,33.5263
ircnn,low,33.7454
ircnn,low,34.264
ircnn,low,35.0733
ircnn,low,35.1603
ircnn,low,34.0446
ircnn,low,34.1216
ircnn,low,33.6132
ircnn,low,34.9766
ircnn,low,34.0655
ircnn,low,33.8734
ircnn,low,35.6537
ircnn,low,34.7128
ircnn,low,34.0266
ircnn,low,33.9517
ircnn,low,34.599
ircnn,low,32.9273
ircnn,low,35.0965
ircnn,low,33.4466
ircnn,low,35.2861
ircnn,low,33.8841
ircnn,low,33.7912
ircnn,low,33.9191
