model,class,psnr,ssim,lpips
H (PP-VAE),Normal,32.23089563072351,0.8967735171318054,0.2459908127784729
DnCNN,Normal,32.84646185810929,0.8953197002410889,0.25989437103271484
SCUNet,Normal,35.345215655030024,0.9407047033309937,0.1360379159450531
A (L2),Normal,34.9426063588978,0.9295424222946167,0.2349090278148651
D (NLL+SSIM+FFL),Normal,33.45763599263217,0.9104151725769043,0.3005402386188507
H (PP-VAE),Normal,32.816134404945124,0.900957465171814,0.3145221471786499
DnCNN,Normal,32.89404557809638,0.8935182094573975,0.3104746341705322
SCUNet,Normal,35.0261354664858,0.930866003036499,0.22189784049987793
A (L2),Normal,33.063173369226774,0.9091262221336365,0.1746910810470581
D (NLL+SSIM+FFL),Normal,31.894460726871692,0.8836513161659241,0.22041139006614685
H (PP-VAE),Normal,31.050273483993536,0.8650562763214111,0.2684776186943054
DnCNN,Normal,31.327016310642108,0.8645729422569275,0.24886152148246765
SCUNet,Normal,33.079171302435476,0.909695029258728,0.17450472712516785
A (L2),Normal,31.65705402002828,0.8732419013977051,0.20586130023002625
D (NLL+SSIM+FFL),Normal,30.60419680167033,0.8490036725997925,0.24683426320552826
H (PP-VAE),Normal,30.02673485529737,0.833313524723053,0.2923845052719116
DnCNN,Normal,30.357339338887257,0.8289146423339844,0.27065104246139526
SCUNet,Normal,31.828137175657826,0.8766022324562073,0.19835256040096283
A (L2),Normal,33.60800604369287,0.9148263335227966,0.1853504776954651
D (NLL+SSIM+FFL),Normal,32.25939199740948,0.8875595331192017,0.2514999210834503
H (PP-VAE),Normal,31.48311658132976,0.8718453049659729,0.2856091856956482
DnCNN,Normal,31.74737056123961,0.8700735569000244,0.27815961837768555
SCUNet,Normal,33.666103140617196,0.9164502620697021,0.17727228999137878
A (L2),Normal,34.209974889335506,0.9103471636772156,0.20534026622772217
D (NLL+SSIM+FFL),Normal,32.82243968231867,0.8834132552146912,0.2720346748828888
H (PP-VAE),Normal,32.0763860158553,0.8651989698410034,0.32486218214035034
DnCNN,Normal,32.25220131512421,0.8623292446136475,0.3129005432128906
SCUNet,Normal,34.311469420095676,0.9127697944641113,0.20064987242221832
A (L2),Normal,31.656678624542508,0.872047483921051,0.20727871358394623
D (NLL+SSIM+FFL),Normal,30.600131639471876,0.8454002141952515,0.258908212184906
H (PP-VAE),Normal,29.90261982793351,0.8281267285346985,0.2959228754043579
DnCNN,Normal,30.24416285094699,0.8286250829696655,0.27094367146492004
SCUNet,Normal,31.599667347606793,0.8719061017036438,0.20755691826343536
A (L2),Normal,33.2996906186859,0.9035727381706238,0.18987488746643066
D (NLL+SSIM+FFL),Normal,32.179738187003366,0.8824007511138916,0.22225938737392426
H (PP-VAE),Normal,31.567602156212807,0.8690201044082642,0.24266481399536133
DnCNN,Normal,31.69867996034789,0.8643708229064941,0.2282143384218216
SCUNet,Normal,33.39249706197988,0.9064119458198547,0.1865214705467224
A (L2),Normal,33.14353371588527,0.8977310061454773,0.1974067986011505
D (NLL+SSIM+FFL),Normal,32.17687871487706,0.8736018538475037,0.2299194037914276
H (PP-VAE),Normal,31.549638779730714,0.8576980233192444,0.26515620946884155
DnCNN,Normal,31.67389612009501,0.8549018502235413,0.2641637921333313
SCUNet,Normal,33.258160013458074,0.9018074870109558,0.19482162594795227
A (L2),Normal,32.776649797485135,0.8910766243934631,0.21436847746372223
D (NLL+SSIM+FFL),Normal,31.694505192148384,0.8685730695724487,0.245770663022995
H (PP-VAE),Normal,30.902728955014737,0.8490471839904785,0.2884722054004669
DnCNN,Normal,31.149251598608814,0.8501975536346436,0.2629351317882538
SCUNet,Normal,32.86585808375663,0.8919273614883423,0.21278062462806702
A (L2),Normal,35.19702693153165,0.9070862531661987,0.22996282577514648
D (NLL+SSIM+FFL),Normal,34.14595915226466,0.8880578279495239,0.2807708978652954
H (PP-VAE),Normal,33.65910838368494,0.8777474164962769,0.3156978189945221
DnCNN,Normal,33.653042228825186,0.8753907084465027,0.30847567319869995
SCUNet,Normal,35.326422274504694,0.9085756540298462,0.21957507729530334
A (L2),Normal,32.20366693645555,0.8982335925102234,0.1780465543270111
D (NLL+SSIM+FFL),Normal,31.15929594399631,0.875613272190094,0.2075764536857605
H (PP-VAE),Normal,30.349394053092652,0.856623113155365,0.24728521704673767
DnCNN,Normal,30.647041471684492,0.8549853563308716,0.23050805926322937
SCUNet,Normal,32.34830107343083,0.9012978076934814,0.17660698294639587
A (L2),Normal,32.9269743451887,0.8942373991012573,0.20473860204219818
D (NLL+SSIM+FFL),Normal,31.658181141864652,0.8739359378814697,0.23855650424957275
H (PP-VAE),Normal,31.04511339838926,0.8618624210357666,0.2698270082473755
DnCNN,Normal,31.55610010655598,0.8629348874092102,0.2478587031364441
SCUNet,Normal,32.9645880134188,0.8959750533103943,0.1973257064819336
A (L2),Normal,33.167297773275585,0.9030308127403259,0.19173574447631836
D (NLL+SSIM+FFL),Normal,31.84727621465335,0.8773582577705383,0.2311123162508011
H (PP-VAE),Normal,31.214848621957437,0.863292396068573,0.2641744017601013
DnCNN,Normal,31.567883242999702,0.8647708892822266,0.24400341510772705
SCUNet,Normal,33.352214483138255,0.9075265526771545,0.18327584862709045
A (L2),Normal,33.02871880192651,0.8950458765029907,0.21950173377990723
D (NLL+SSIM+FFL),Normal,31.786758316576808,0.8677398562431335,0.26228436827659607
H (PP-VAE),Normal,30.920556083912206,0.8431101441383362,0.31131112575531006
DnCNN,Normal,31.07701038663935,0.843122661113739,0.2912192940711975
SCUNet,Normal,33.108107831307166,0.8977451920509338,0.21594476699829102
A (L2),Normal,33.84709176695903,0.904141366481781,0.20528921484947205
D (NLL+SSIM+FFL),Normal,32.76843662980252,0.8843154311180115,0.24355927109718323
H (PP-VAE),Normal,32.09491529829506,0.872295081615448,0.27362892031669617
DnCNN,Normal,32.34504997760983,0.870081901550293,0.2665966749191284
SCUNet,Normal,34.00210429051461,0.9071358442306519,0.20495577156543732
A (L2),Normal,33.347581692156076,0.8960924744606018,0.22089415788650513
D (NLL+SSIM+FFL),Normal,32.36106164527991,0.8739488124847412,0.263785183429718
H (PP-VAE),Normal,31.698371964922103,0.8610885143280029,0.2835710346698761
DnCNN,Normal,31.780947727301804,0.8532965779304504,0.2877539396286011
SCUNet,Normal,33.40403045407016,0.8976367712020874,0.2181290090084076
A (L2),Normal,33.25487811813816,0.9122400879859924,0.16139674186706543
D (NLL+SSIM+FFL),Normal,32.107840787057505,0.8914806842803955,0.20065373182296753
H (PP-VAE),Normal,31.363551565509642,0.8744130730628967,0.24162836372852325
DnCNN,Normal,31.493617248799065,0.8722776770591736,0.23935739696025848
SCUNet,Normal,33.37826832827047,0.914318323135376,0.16056516766548157
A (L2),Normal,33.80147410795828,0.9033653736114502,0.2038021683692932
D (NLL+SSIM+FFL),Normal,32.376067297433345,0.8744346499443054,0.2541607618331909
H (PP-VAE),Normal,31.78560343244081,0.8588269352912903,0.30943721532821655
DnCNN,Normal,32.038030857899685,0.8621910214424133,0.2748037576675415
SCUNet,Normal,33.83989904933598,0.9055666327476501,0.1945149004459381
